Epoch: [0]  [  190/12690]  eta: 0:35:27  lr: 0.000959  loss: 0.1440 (0.1911)  loss_classifier: 0.0911 (0.1340)  loss_box_reg: 0.0162 (0.0248)  loss_objectness: 0.0018 (0.0043)  loss_rpn_box_reg: 0.0124 (0.0279)  time: 0.1673  data: 0.0027  max mem: 1668
Epoch: [0]  [  200/12690]  eta: 0:35:23  lr: 0.001009  loss: 0.1307 (0.1882)  loss_classifier: 0.0909 (0.1317)  loss_box_reg: 0.0157 (0.0242)  loss_objectness: 0.0016 (0.0042)  loss_rpn_box_reg: 0.0194 (0.0281)  time: 0.1657  data: 0.0028  max mem: 1668
Epoch: [0]  [  210/12690]  eta: 0:35:21  lr: 0.001059  loss: 0.1343 (0.1864)  loss_classifier: 0.0909 (0.1299)  loss_box_reg: 0.0080 (0.0238)  loss_objectness: 0.0014 (0.0041)  loss_rpn_box_reg: 0.0293 (0.0286)  time: 0.1677  data: 0.0028  max mem: 1668
Epoch: [0]  [  220/12690]  eta: 0:35:20  lr: 0.001109  loss: 0.1490 (0.1847)  loss_classifier: 0.0971 (0.1281)  loss_box_reg: 0.0088 (0.0237)  loss_objectness: 0.0014 (0.0040)  loss_rpn_box_reg: 0.0306 (0.0289)  time: 0.1702  data: 0.0027  max mem: 1668
Epoch: [0]  [  230/12690]  eta: 0:35:16  lr: 0.001159  loss: 0.1517 (0.1844)  loss_classifier: 0.1052 (0.1280)  loss_box_reg: 0.0146 (0.0236)  loss_objectness: 0.0017 (0.0040)  loss_rpn_box_reg: 0.0282 (0.0288)  time: 0.1688  data: 0.0027  max mem: 1668
Epoch: [0]  [  240/12690]  eta: 0:35:15  lr: 0.001209  loss: 0.1553 (0.1851)  loss_classifier: 0.1036 (0.1283)  loss_box_reg: 0.0135 (0.0237)  loss_objectness: 0.0016 (0.0039)  loss_rpn_box_reg: 0.0282 (0.0292)  time: 0.1686  data: 0.0027  max mem: 1668
Epoch: [0]  [  250/12690]  eta: 0:35:13  lr: 0.001259  loss: 0.1669 (0.1864)  loss_classifier: 0.0970 (0.1294)  loss_box_reg: 0.0233 (0.0241)  loss_objectness: 0.0014 (0.0040)  loss_rpn_box_reg: 0.0262 (0.0290)  time: 0.1705  data: 0.0027  max mem: 1668
Epoch: [0]  [  260/12690]  eta: 0:35:10  lr: 0.001309  loss: 0.1676 (0.1856)  loss_classifier: 0.1023 (0.1290)  loss_box_reg: 0.0239 (0.0241)  loss_objectness: 0.0011 (0.0040)  loss_rpn_box_reg: 0.0169 (0.0285)  time: 0.1688  data: 0.0028  max mem: 1668
Epoch: [0]  [  270/12690]  eta: 0:35:07  lr: 0.001359  loss: 0.1377 (0.1841)  loss_classifier: 0.0847 (0.1281)  loss_box_reg: 0.0138 (0.0237)  loss_objectness: 0.0011 (0.0039)  loss_rpn_box_reg: 0.0159 (0.0283)  time: 0.1672  data: 0.0028  max mem: 1668
Epoch: [0]  [  280/12690]  eta: 0:35:07  lr: 0.001409  loss: 0.1423 (0.1833)  loss_classifier: 0.0884 (0.1275)  loss_box_reg: 0.0117 (0.0235)  loss_objectness: 0.0014 (0.0039)  loss_rpn_box_reg: 0.0159 (0.0284)  time: 0.1696  data: 0.0027  max mem: 1668
